Dealer,Average Final Rankings,Number of Different Cars Sold
Randy Marion Chevrolet of Statesville,4.51,468
CAL Cars,4.51,354
Cadillac of Naperville,4.51,535
AutoSavvy Lindon,4.51,199
Kyle Edwards Buick GMC,4.51,121
Berge Mazda,4.51,378
Power Ford Lincoln,4.51,102
Zeigler Nissan of Gurnee,4.51,2025
Austin e Autos,4.51,88
Atlanta Best Used Cars,4.5,1395
Mercedes-Benz of North Haven,4.5,2612
Alternative Motor Group,4.5,114
AutoNation Chrysler Dodge Jeep Ram South Columbus,4.5,590
Advantage Acura of Naperville,4.5,1395
Amazing Luxury Cars - Snellville,4.5,93
Boniface Hiers Chevrolet,4.5,827
Love Chevrolet,4.5,320
Earth Motorcars,4.5,1913
CarMax Nashville - Now offering Curbside Pickup,4.5,176
Airport Marina Honda,4.5,578
CarMax Schaumburg - Now offering Curbside Pickup,4.5,568
BMW of Vista,4.5,2098
Mercedes-Benz of Union,4.5,2693
AutoNation Toyota Hayward,4.5,12694
Greenway Kia of Hickory Hollow,4.5,1895
Westgate Chrysler Jeep Dodge Ram,4.5,6351
Mercedes-Benz of South Charlotte,4.5,2582
Platinum Motorsports,4.5,82
Marquardt of Barrington Buick-GMC,4.5,845
Airpark Dodge Chrysler Jeep RAM,4.5,4869
INFINITI of Van Nuys,4.5,1140
BELOW BLUEBOOK AUTO SALES LLC,4.5,91
Muller Acura of Merrillville,4.5,343
AutoNation Chrysler Dodge Jeep Ram Valencia,4.5,858
Mercedes-Benz of Covington,4.5,801
Trust Auto,4.5,443
Mercedes-Benz of Hunt Valley,4.5,1100
Acura of Valley Stream,4.5,1108
Car n Drive,4.5,83
Unlimited Motors in Noblesville,4.5,194
Landers McLarty Chevrolet,4.5,143
ALM Gwinnett,4.5,2324
Keyless Motors,4.5,728
HGreg.com Tampa,4.5,259
West Chicago Auto Mall,4.49,576
Ourisman Subaru VW of Waldorf,4.49,108
ABZ Motors,4.49,312
Schumacher Buick GMC Of North Palm Beach,4.49,94
True Automart,4.49,297
Pearl Chrysler Dodge Jeep RAM,4.49,424
CarMax Gaithersburg - Now offering Curbside Pickup,4.49,1125
Land Rover Cary,4.49,725
Mounce Automotive,4.49,324
Mt. Moriah Auto Sales; Inc.,4.49,217
Mount Juliet Motors,4.49,150
Platinum Cars Marietta,4.49,35
Jaguar Land Rover Fort Lauderdale,4.49,5742
Highline Auto Sales,4.49,1396
MINI of The Woodlands,4.49,352
Sheehan Cadillac,4.49,744
Jeff Haas Mazda,4.49,2036
Ed Voyles Hyundai,4.49,1419
DDM Cars,4.49,296
Western Avenue Nissan,4.49,405
Platinum Used Cars,4.49,258
Bob Rohrman Subaru of Fort Wayne,4.49,1052
CarMax North Attleboro - Now offering Curbside Pickup and Home Delivery,4.48,182
Key Acura of Portsmouth,4.48,917
Livermore Ford Lincoln,4.48,2336
Rock Hill Ford,4.48,1527
Rairdon's Honda of Sumner,4.48,921
AutoNation Chrysler Dodge Jeep Ram and FIAT North Phoenix,4.48,6420
McGee Toyota of Epping,4.48,516
Century Automotive,4.48,433
McDonough Nissan,4.48,5481
Curry Acura,4.48,2138
Bobby Rahal Acura,4.48,536
Ed Voyles Acura,4.48,303
Impex Chevrolet GMC Buick,4.48,98
Mercedes-Benz of Calabasas,4.48,1863
Ramey Tazewell,4.48,30
Cumberland Auto Center,4.48,3920
Killeen Certified,4.48,676
Leonardtown Ford,4.48,151
Arlington Nissan,4.48,2773
Tracy Chrysler Jeep Dodge Ram,4.48,166
INFINITI of Suitland,4.48,168
AutoNation Chrysler Dodge Jeep Ram North Fort Worth,4.47,8771
Straub Automotive,4.47,237
AutoNation Buick GMC Park Meadows,4.47,1944
Autolounge of Edison,4.47,819
Elbrus Auto Brokers Inc.,4.47,104
Honda Auto Center of  Bellevue,4.47,928
BMW of Toledo,4.47,947
Coggin Honda of Orlando,4.47,1406
Supreme Carriage,4.47,112
CarMax White Marsh - Now offering Curbside Pickup,4.47,517
Corwin Honda,4.47,1208
Fox Auto Group,4.47,100
CarMax Lithia Springs - Now offering Curbside Pickup and Home Delivery,4.47,238
AutoNation USA Phoenix Avondale,4.47,1285
F.C. Kerbeck & Sons,4.47,615
Central Houston Nissan,4.47,4624
Steves Hometown Motors,4.47,393
Legends Honda,4.47,367
Rincon Chevrolet,4.47,129
Bobby Rahal Motorcar Company,4.47,114
Zeigler Honda of Racine,4.46,187
Drum Hill Autos,4.46,93
Porsche Westwood,4.46,356
California Motors Direct,4.46,536
Allen Samuels Chrysler Dodge Jeep Ram,4.46,734
Hertrich Buick GMC of Seaford,4.46,200
Rosenthal Acura,4.46,296
Joseph,4.46,287
Jay Hatfield Chrysler Dodge Jeep Ram,4.46,154
Puente Hills Hyundai,4.46,3430
M & I Motors,4.46,421
Grand Motorcars Kennesaw,4.46,620
Evans Arena Chrysler Dodge Jeep Ram,4.46,501
Carolina Family Motors,4.46,99
Weiss Toyota of South County,4.46,966
Auto Brokers,4.46,356
Miles Chevrolet,4.46,611
Nalley BMW,4.46,3257
CarMax Boynton Beach - Now offering Curbside Pickup and Home Delivery,4.45,196
Auto Nik,4.45,123
Hertz Car Sales Norwalk,4.45,105
McCluskey Chevrolet,4.45,1020
Albo Auto Sales,4.45,893
Cars Buyer Inc,4.45,216
Route 46 Mitsubishi,4.45,1299
Victory Chevrolet,4.45,918
JTs Dodgeland of Columbia Dodge RAM,4.45,1738
Zeigler Subaru of Merrillville,4.45,34
Muller Honda of Gurnee,4.45,538
Gateway Motors,4.45,294
AutoNation USA Houston,4.45,390
Webb Hyundai Highland,4.45,594
Shaheen Cadillac,4.45,359
Houston Direct Auto,4.45,2029
Seth Wadley Chevrolet Buick of Ada,4.45,212
Cherry Hill Imports,4.45,596
Hornbeck Chevrolet,4.45,88
Lynch Buick GMC of West Bend,4.45,358
Midway Chevrolet,4.45,1478
Ultimo Motors North Shore,4.45,76
Bob Howard Buick GMC,4.45,433
Mercedes-Benz of St Louis,4.45,185
Epic Automotive,4.45,67
McGonigal Buick; Cadillac,4.45,218
All Star Auto LLC,4.45,374
Volvo Cars of Edinburg,4.45,111
Victory Chrysler Dodge Jeep Ram,4.44,576
AutoNation Ford Katy,4.44,4495
AutoNation Toyota Libertyville,4.44,3786
Land Rover Jaguar Van Nuys,4.44,75
Prestige Imports Auto Sales,4.44,2279
Koons Kia,4.44,3318
AutoNation Ford Littleton,4.44,9634
Reedman-Toll Subaru of Exton,4.44,166
Bertera Chrysler Jeep Dodge RAM,4.44,672
McCarthy Honda,4.44,1244
Galpin Lincoln Volvo,4.44,835
Marlow Motor Company,4.44,189
Texas Toyota of Grapevine,4.44,6190
Byers Volvo Cars,4.44,1063
Fitzgerald Chevrolet Cadillac Hagerstown,4.44,159
Sullivan Cadillac,4.44,484
Metro Automobiles,4.44,352
Executive Auto Gallery,4.44,196
East Coast Auto Source,4.44,179
Napleton's Volkswagen of Sanford,4.44,7253
Car Giants,4.43,24
Freedom Chevrolet of Big Stone Gap,4.43,145
Jaguar Land Rover Hinsdale,4.43,2850
Alvarez Auto Sales,4.43,28
Toyota of Vero Beach,4.43,1585
John Megel Chevrolet,4.43,299
Andy Mohr Chevrolet,4.43,4115
Jaguar Land Rover Norwood,4.43,4056
Auto Express,4.43,325
Kelley Buick GMC of Bartow,4.43,489
Jaguar Land Rover Bellevue,4.43,2178
Dan Deery Motors,4.43,451
Jaguar Land Rover Buckhead,4.43,1701
Lifted Trucks - Paradise Valley,4.43,44
Beck & Masten Buick GMC South,4.43,6557
New Century Volkswagen,4.43,158
Henry Brown Buick GMC,4.43,1600
CarMax Columbus Sawmill - Now offering Curbside Pickup and Home Delivery,4.42,1044
Broadway Garage,4.42,266
Mercedes-Benz of Sacramento,4.42,5454
Lindsay Volkswagen of Dulles,4.42,7286
Poughkeepsie Nissan,4.42,261
Tom Wood Nissan,4.42,1830
Jaguar Land Rover Woodland Hills,4.42,6462
Gray's Used Cars,4.42,150
Rick Case Maserati,4.42,666
Lokey Volkswagen,4.42,2541
INFINITI of Hoffman Estates,4.42,6102
Dana Ford Lincoln,4.42,4768
Towbin Dodge RAM,4.41,1940
Libertyville Chevrolet,4.41,950
Jason,4.41,234
Car Factory Outlet,4.41,2154
Car Corporation of Maryland,4.41,398
Volkswagen of New Port Richey,4.41,17
CarMax Brooklyn Park - Now offering Curbside Pickup,4.41,870
Randy Marion Chevrolet Buick of Mooresville,4.41,336
Kia of Riverdale,4.41,1150
Volkswagen Of Orange Park,4.41,296
Heartland Ford,4.41,590
Victory Mitsubishi,4.41,6125
Gregory Hyundai,4.41,487
CarShop South Brunswick,4.41,58
Jaguar Land Rover White Plains,4.41,915
Kia Of Greer,4.41,1031
Matt Bowers Nissan Eastern Shore,4.41,285
CarMax Raleigh - Now offering Curbside Pickup and Home Delivery,4.41,369
J&S Autohaus III,4.41,94
Grieco Mazda of Delray Beach,4.41,265
Graydon,4.4,462
Magic City Ford,4.4,226
Piedmont Chrysler Jeep Dodge RAM,4.4,329
G Motors,4.4,561
Jaguar Land Rover Chantilly,4.4,844
Auto Locators,4.4,156
Fremont Chrysler Dodge Jeep Ram,4.4,644
Maserati of Bergen County,4.4,462
Gladstone Mitsubishi,4.4,114
University Kia,4.4,728
Marin Luxury Cars - Jaguar Land Rover,4.4,95
Elgin Kia,4.4,692
INFINITI of Marin,4.4,99
CarMax Kansas City - Now offering Curbside Pickup,4.4,1386
Audi Central Houston,4.39,447
BMW of Fairfield,4.39,19
Cars R Us,4.39,217
Kendall Dodge Chrysler Jeep Ram,4.39,1657
Grand Prix Motors,4.39,35
Heartland Chrysler Dodge Jeep Ram,4.39,126
Jim Tidwell Ford,4.39,1716
Marin Mazda,4.39,47
Hoffman Audi of East Hartford,4.39,131
BBS AUTO SALES,4.39,745
Desert European Motorcars,4.39,591
San Jose Mitsubishi,4.39,18
Bentley Parsippany and Paul Miller; An Authorized Rolls Royce Motor Cars Dealer,4.39,39
AE of Miami,4.39,952
Cherokee Auto Sales,4.39,208
Elder Ford of Tampa,4.39,2947
Spanos Motors,4.39,944
Westgate Pre-Owned,4.39,16
DCH Kay Honda,4.39,6735
Kuni BMW,4.39,1406
Kia of Auburn,4.39,57
Auto Giants Nissan,4.39,497
Chicago Cars US,4.39,410
Walser Experienced Autos Burnsville,4.39,134
Williamson Buick GMC,4.39,5104
Luxury Motor Cars,4.39,37
HGreg.com Doral,4.39,2637
VINS DC,4.39,100
Hennessy Jaguar Land Rover Gwinnett,4.39,688
Imperial Highline,4.38,526
Selective Autoplex,4.38,329
R&J Automotive Company LLC,4.38,60
Brown Automotive Group,4.38,105
CarMax Norcross - Now offering Curbside Pickup and Home Delivery,4.38,738
Land Rover North Hills,4.38,156
A&A International Inc,4.38,57
Ournextcar; LLC,4.38,402
21 Century Auto Group,4.38,12346
Rochester Wholesale Auto Sales,4.38,290
Car Revolution,4.37,1134
Antwerpen Chevrolet,4.37,6
Hutchinson Kia of Macon,4.37,216
Will,4.37,284
Porsche Bellevue,4.37,1035
Legend Porsche Audi VW,4.37,444
xDrive Motors Inc.,4.37,183
Buhler & Bitter Jeep Chrysler Dodge RAM,4.37,264
Bergstrom Chevrolet of Madison,4.37,102
Alfa Romeo of Fort Worth,4.37,1311
Imperial Chevrolet,4.36,1796
Serpentini Chevrolet - Strongsville,4.36,692
CarMax Glencoe (Edens Expy) - Now offering Curbside Pickup,4.36,24
Morrie's West End Lincoln,4.36,103
Audi Brooklyn,4.36,1566
Mike Hovart Chevrolet,4.36,62
Ford of Kendall,4.36,472
AutoSavvy Woods Cross,4.35,762
Mercedes-Benz & Chevrolet in San Luis Obispo,4.35,59
Capitol Volkswagen,4.35,184
Auto Gallery Mitsubishi - Murrieta,4.35,194
ALM Kennesaw,4.35,1021
Ken Garff Chrysler Jeep Dodge Ram Fiat,4.35,886
Patriot Chevrolet Buick GMC of Ardmore,4.35,363
Anderson Toyota,4.35,352
Your Choice Auto Sales of Posen,4.35,286
Sterling McCall Honda,4.35,490
Chrysler Dodge Jeep Ram South Savannah,4.35,1336
Shift Seattle,4.35,119
Marin Acura,4.35,7929
Velocity Auto Sales,4.35,427
Napleton Ford in Libertyville,4.35,626
Big Two Toyota of Chandler,4.35,851
Jaguar Hilton Head,4.34,245
Auto Republic Fullerton,4.34,68
Mac Haik Ford Lincoln,4.34,3629
AutoNation USA Phoenix,4.34,1149
King Buick GMC,4.34,397
CarMax Memphis - Now offering Curbside Pickup,4.34,60
Lake Auto Sales; LLC,4.34,189
Mercedes-Benz of Fresno,4.34,517
Exotic Motors,4.34,1873
Headquarter Toyota,4.34,625
Trucks Only!,4.34,95
Rairdon's Alfa Romeo Maserati and Fiat of Kirkland,4.34,420
United Imports,4.34,291
Nissan of Lagrange,4.34,100
Texas Carz,4.34,215
Ohio Car Mart,4.34,182
Shift Bay Area,4.33,2883
Napleton Italian Imports,4.33,638
Hennessy Jaguar Land Rover of North Atlanta,4.33,784
Tacoma Dodge Chrysler Jeep RAM,4.33,570
Freeway Chevrolet,4.33,2847
Urban Motors Two,4.33,65
Schmelz Countryside Alfa Romeo FIAT Saab VW,4.33,295
Land Rover Jaguar San Diego,4.33,192
Circle Buick GMC,4.32,192
Groove Ford,4.32,1149
Gillman Jeep,4.32,252
Victory Cars East,4.32,58
INFINITI of Tacoma,4.32,684
Fishers Imports,4.32,292
CarMax Dulles - Now offering Curbside Pickup and Home Delivery,4.32,1501
North Knoxville Chrysler Dodge Jeep Ram,4.32,273
Van Horn Ford of Sheboygan,4.32,63
Jaguar Land Rover Santa Monica,4.32,284
Faulkner Maserati Alfa Romeo Willow Grove,4.3,6
Tacoma Nissan,4.3,98
Cortez Auto Sales,4.3,238
Dart Motors,4.3,56
Advantage Chrysler Jeep Dodge RAM,4.3,376
Prime Wheels LLC,4.3,492
Zone Motors,4.29,65
Joseph Buick GMC Trucks,4.29,62
AutoNation Buick GMC Henderson,4.29,940
Premier Auto,4.29,114
Willis Chevrolet of Granger,4.29,248
Bertera Dodge Chrysler Jeep Ram,4.29,184
Nissan of Costa Mesa,4.29,54
Mint Auto Sales,4.29,192
Clintonville Motors,4.29,1426
Driver's Way,4.29,2470
Prestige Certified Motors,4.29,180
Chicago Motors Direct,4.29,176
Auto Town Buick GMC; Inc,4.29,63
Mike Molstead Motors,4.29,359
SC Car Zone,4.29,185
Cornerstone Chevrolet,4.29,183
Auto Warehouse,4.29,247
Jaguar Land Rover Flatirons,4.28,2124
Bellingham Ford Lincoln,4.28,726
Lockhart Cadillac - South,4.28,339
Power Motors East,4.27,86
A.I. Monroe Auto Sales,4.27,106
Glendale Chrysler Dodge Jeep RAM,4.27,127
Covina Hills Chevrolet,4.27,44
Land Rover Jaguar Houston Central,4.27,481
Callahan Motor Company,4.27,264
Brooklyn Auto Sales,4.27,141
Northshore Motors,4.27,1564
OtoCity LLC,4.26,161
Mercedes-Benz of Ann Arbor,4.26,497
Mercedes-Benz of Modesto,4.26,173
Family Certified Motors,4.26,140
Autocenter Sales & Service,4.26,467
DFW Autos,4.26,48
Mercedes-Benz of Rocklin,4.26,2883
Zeigler Fiat Maserati Alfa Romeo of Schaumburg,4.25,422
Superior Auto Sales,4.25,77
Whitaker Sports and Import Cars,4.25,54
CarMax Ft. Myers - Now offering Curbside Pickup and Home Delivery,4.25,98
Car Legends,4.25,330
Auto Trademark,4.25,421
Covert Chevrolet GMC Buick,4.25,916
Lou Bachrodt Pompano Chevrolet,4.24,342
Tracy Volkswagen,4.24,191
Park Avenue Autos,4.24,137
Certified MotorCars,4.24,58
Avenue Auto Group,4.24,66
Greenway Nissan of Jacksonville,4.23,527
Superior Mazda of Bentonville,4.23,150
Napleton's Schaumburg Mazda,4.22,901
West End Auto Sales,4.22,139
BG Motorcars,4.22,253
Luxury Auto Collection,4.21,105
Arrow Motors Inc.,4.21,186
Land Rover Parsippany,4.21,695
A & H Quality Cars,4.21,183
Affordable Auto Credit,4.2,191
Pikes Peak Acura,4.2,718
Lone Star Auto,4.2,444
Montrose Chrysler Jeep Dodge Ram,4.2,26
Sam Pierce Chevrolet,4.2,190
Fan,4.2,527
Furthmiller Motors LLC,4.2,146
Luxury Auto Selection,4.2,98
Shottenkirk Honda Davis,4.2,25
Tim Short Chrysler Dodge Jeep RAM,4.2,588
Bob Rohrman Schaumburg Ford,4.2,4348
Northtown Auto Sales,4.19,128
Maximum Auto Outlet,4.19,1744
Porsche Rocklin,4.19,22
Patriot Auto Group LLC,4.19,92
Car City Inc,4.19,150
Colorado Motorcars,4.19,79
Gables Motors,4.19,4
Virginia Auto Trader Co.,4.18,69
Alex Auto Sales,4.18,101
Wells Auto Group,4.18,295
Harper Volkswagen,4.18,75
INFINITI of Englewood,4.17,543
Crown Auto Group,4.17,84
Ray,4.17,64
Jax Exports Inc,4.17,118
Apexcars.net,4.17,60
Vaden Nissan of Savannah,4.16,220
Dallas Autos Direct,4.15,343
Colonial Volkswagen,4.15,2288
CarMax Indianapolis - Now offering Curbside Pickup,4.15,205
O'Steen Volkswagen / Subaru of Valdosta,4.15,69
Hyundai of Vacaville,4.15,105
Rickenbaugh INFINITI,4.15,56
Gilroy Chevrolet,4.15,306
Mark Wahlberg Chevrolet,4.14,345
Titus-Will Toyota - Tacoma,4.14,45
Kenny,4.14,417
Auto Outlet of Tacoma,4.14,168
Rolls Auto Sales,4.13,282
Premier Automotive,4.13,470
Euro Motor Haus,4.13,162
Audi Nashville,4.13,622
Ideal Cars USA.com,4.12,123
Caspian Auto Motors,4.12,1217
Baker Motor Company of Charleston,4.11,416
Liberty Buick GMC,4.11,158
Gillman Honda Houston,4.1,647
Rides Unlimited Chicago,4.09,230
Ferco Motors,4.09,1649
Prestige Imports,4.09,34
Eastside Motoring,4.09,72
Valenti Autocenter,4.09,68
AX Auto Inc.,4.08,156
Vista Volkswagen,4.08,257
Surprise Ford,4.07,1326
McKenna Audi,4.07,150
Leesburg Auto Import,4.07,326
Matt,4.06,184
Certified Premium Motors,4.06,49
CarMax Brandywine - Now offering Curbside Pickup,4.05,56
Land Rover South Atlanta,4.05,16
Tom's Auto Sales West,4.05,86
Katy Motors Company - North LLC,4.05,76
Jaguar Land Rover Newport Beach,4.05,485
Jaguar Land Rover Treasure Coast,4.05,598
Pinellas Auto Brokers,4.05,132
Land Rover Pasadena,4.05,38
Star Motor Sales,4.05,408
B & M Auto Sales,4.04,67
Fallier Automotive LLC,4.04,76
TJK AUTO LLC,4.03,622
Great Neck Motorsports,4.03,199
Euro Sam Auto Sales,4.02,142
Gary Yeomans Lincoln,4.01,189
Commerce Chevrolet Buick,4.01,54
Sitterly's Quality Auto Sales Inc.,4.0,278
Champion Porsche,4.0,351
Road Runner Auto Sales of Wayne,4.0,218
Central A/S LLC,4.0,148
Bridgewater KIA,3.99,553
Ferrari of Washington,3.99,25
Brick City Motors,3.99,105
The Taverna Collection,3.99,281
AutoNation Honda Renton,3.98,971
University Motors,3.97,174
West Herr Subaru of Brockport,3.97,161
Painless Autos,3.97,46
Central Florida Lincoln,3.97,139
Carizona,3.95,277
Porsche Norwell,3.95,42
AutoCenters Herculaneum,3.95,98
Big Star Chrysler Jeep Dodge Ram Fiat Clear Lake,3.94,648
Kenny's Auto Center,3.94,68
Ourisman Hyundai Genesis of Bowie -Curbside Pick Up and Home Delivery Available,3.93,271
Texas Auto Pros,3.93,146
DARCARS Ford Kia Lanham,3.92,122
MOTORVAULT,3.91,3
neal,3.91,23
Porsche Marin,3.91,56
Quality Motorcars,3.9,220
South Hills Lincoln,3.89,41
Autonomics,3.88,54
Audi Lafayette,3.88,30
Family Deal Direct of Ann Arbor,3.86,146
Volkswagen of Union,3.86,42
Phillips Chevrolet of Lansing,3.86,4877
Northwest Motorsport - Pasco,3.86,3804
RP Exotics,3.86,5
Navarre Chevrolet Cadillac,3.85,227
Bentley Rolls-Royce Lamborghini Aston Martin of Scottsdale,3.84,11
Keewaydin Auto,3.83,41
NYC Motorcars of Hempstead,3.81,66
Jim Cogdill Chrysler Dodge Jeep RAM,3.79,248
Toyota Of Berkeley Certified Service Center,3.78,7
South Street Auto Sales LLC,3.78,37
Rolls-Royce Motor Cars Raleigh,3.77,273
Car Castle,3.76,228
Travis,3.75,23
Victory Chevrolet Buick GMC,3.74,130
Alpine Auto Gallery LLC,3.73,35
McKenzie Motor Cars,3.71,38
Pat Fischer Nissan,3.7,137
Moses Chevrolet,3.69,83
UA Auto Sales,3.69,77
CarMax Pharr - Now offering Curbside Pickup,3.68,33
Owais,3.67,105
Action Auto Group LLC,3.64,68
McLaren Philadelphia,3.64,16
Next Gear Auto Sales,3.64,53
Amko Auto Temple Hills,3.63,49
Sewell Cadillac Buick GMC,3.63,54
Ourisman Jeep,3.62,34
Arrowhead Jaguar Land Rover,3.62,26
Auto Gallery Mitsubishi - Corona,3.61,238
Arko Auto Sales,3.6,51
Auto Expo of Huntington,3.59,333
TRED Private Seller (Downtown LA),3.59,38
Carrio Motor Cars,3.58,208
MotorMall,3.56,823
Southwest Kia of Rockwall,3.55,32
SC Motors II,3.54,137
Texas Vehicle Exchange,3.52,19
Dana Motors,3.51,52
Prime Auto Sales of Uniontown,3.5,226
Crace Auto LLC,3.47,10
Monaco Motor Group,3.45,4
Porsche Audi of Wallingford,3.45,24
Payless Auto Sales Lakewood,3.45,29
Kirkpatrick Auto Sales,3.44,200
TRED Private Seller (West LA),3.44,21
Z Imports,3.43,127
HGreg.com West Palm Beach,3.4,70
Continental Ferrari,3.4,14
83 Autos LLC,3.38,29
Bosco Auto Group,3.33,105
Lets Go Auto,3.32,44
Brown-Daub Alfa Romeo,3.31,17
Subaru Volvo Cars of Ocala,3.31,131
The Audi Connection,3.3,48
Certified Performance Motors,3.26,154
Mega Auto Outlet,3.25,306
Elite Auto Sales,3.22,19
Sterling Value Pre-Owned,3.14,28
Karplus Warehouse Inc.,3.11,204
Texas Best Deal Autos,3.1,772
Equity Auto Center Bell Road,3.1,423
Umansky Maserati,3.01,13
CarMax Tyler - Now offering Curbside Pickup,2.99,21
Jaguar Land Rover Clear Lake,2.97,9
Blok Charity Auto Clearance,2.95,92
AMD Auto,2.79,23
Gerrit,2.78,69
Ellas Auto Outlet; Inc,2.61,144
Jaguar Land Rover South Orlando,2.6,18
Bentley; Maserati & Rolls-Royce Motor Cars by O'Gara Westlake,2.52,12
Cole European Jaguar-Land Rover,2.46,7
Towne BMW,2.4,34
MotorHub Inc.,2.36,15
CarMax West Broad - Now offering Curbside Pickup and Home Delivery,1.75,32
Dutro Ford Company,1.65,22
Jacksonville Chrysler Jeep Dodge Ram Westside,1.53,13
Pacific Auto Center - Costa Mesa,1.38,36
CarMax Austin North - Now offering Curbside Pickup and Home Delivery,0.57,14
