Year,Make,Model,Used/New,Price
2020,Chevrolet,Equinox 1LT,Used,27995
2018,INFINITI,QX30 Premium,Used,29995
2019,Ford,F-150 XLT,Ford Certified,37500
2019,Hyundai,Elantra SE,Used,13950
2014,Mercedes-Benz,E-Class E 350,Used,21500
2019,Mercedes-Benz,GLS 450 GLS 450,Used,51909
2020,Land,Rover Range Rover Evoque SE,Used,47500
2019,Honda,Civic Sport,Used,24998
2022,Acura,MDX Base,Used,48998
2020,Acura,TLX A-Spec,Acura Certified,37988
2021,Toyota,Highlander Hybrid Limited,Used,48916
2020,Nissan,Rogue Sport S,Used,22790
2003,Lexus,ES 300 Base (A5),Used,3099
2010,Buick,Enclave 2XL,Used,6099
2021,RAM,1500 Big Horn,Used,49997
2020,Tesla,Model 3 Performance,Used,64900
2020,Lincoln,Aviator Black Label AWD,Used,70988
2015,BMW,328 i xDrive,Used,22495
2019,Chevrolet,Tahoe LT,Used,42900
2013,Toyota,Highlander SE,Used,19750
2021,Mazda,CX-5 Grand Touring,Used,34590
2019,Mercedes-Benz,GLS 450 Base 4MATIC,Used,48995
2020,Kia,Sorento LX,Used,23972
2014,Land,Rover Range Rover Sport Supercharged HSE,Used,29995
2014,Lincoln,MKZ Base,Used,17900
2019,Jeep,Grand Cherokee Limited,Used,31000
2019,Jeep,Grand Cherokee Limited,Used,34389
2019,Jeep,Cherokee Latitude Plus,Used,28498
2020,Mercedes-Benz,GLA 250 Base,Mercedes-Benz Certified,31995
2021,Toyota,Tacoma SR5,Used,34245
2017,Acura,ILX w/AcuraWatch Plus,Used,6095
2013,Toyota,Prius Three,Used,16654
2019,Subaru,Impreza 2.0i Premium,Used,22894
2019,BMW,330 i xDrive,BMW Certified,39816
2019,Genesis,G80 3.8,Used,36999
2013,Lexus,GX 460 460,Used,23995
2019,Toyota,Camry XSE,Toyota Certified,31491
2016,Dodge,Charger R/T Scat Pack,Used,39950
2017,Mercedes-Benz,E-Class E 300 4MATIC,Used,33016
2020,Acura,TLX V6,Used,27990
2019,BMW,M550 i xDrive,BMW Certified,55988
2021,Kia,Telluride SX,Used,57861
2015,Acura,TLX V6 Advance,Used,23437
2019,Honda,CR-V EX-L,Used,31336
2019,BMW,X5 xDrive40i,BMW Certified,53795
2020,Dodge,Durango GT,Used,45899
2020,Acura,MDX 3.5L,Used,40995
2004,Jeep,Grand Cherokee Limited,Used,6099
2020,BMW,740 i,BMW Certified,65988
2021,Audi,Q8 55 Premium,Used,76988
2019,BMW,X3 xDrive30i,BMW Certified,35998
2018,Mazda,CX-5 Grand Touring,Used,27500
2020,Toyota,Corolla SE,Used,25995
2018,Tesla,Model S 75D,Used,60000
2014,Subaru,XV Crosstrek 2.0i Premium,Used,14900
